Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
ClearMeat,"India-based startup working on cultivated meat, aiming to work in a B2B format to license out their technologies. ",Cultivated,Meat,"End product formulation and manufacturing,Bioprocess design",,,,Asia Pacific,India ,,Delhi,http://www.clearmeat.com/,2018,"Pawan K Dhar, Siddharth Manvati",ClearMeat-logo_0.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/M6gD3_iSAByCsathXvNshQ/6GYPUDQN_ARaWj9ra0pGWLtmMlMIQFQ890_IZhdusNok9gJ_n5EWCCQQvglu0CL5w1q2YT4K8BhoxqNo9IaKhaC6bPxWo-IFPii4dgEu5aY/OzpdzgG9SCJcHAV1_wB4NcZN9sQviROnR9bCl92g1dA)
Finless Foods,U.S.-based company working on plant-based fish and cultivated blue fin tuna,"Cultivated,Plant-based","Meat,Seafood","Cell culture media,End product formulation and manufacturing",Whole muscle meat,Fish,,U.S. and Canada,United States,California,San Francisco,https://finlessfoods.com/,2016,"Mike Selden, Brian Wyrwas",Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/kZlnq7e3afwYxDjl4EoMBQ/g7nctyMaSy49juY-4f7pqJyCZ56rFBrgXXdMIwrs-8aVIOrtAtU8wq0mvYs9krV3oJuEvZPOTuh-NctrJmeUPjyfEsEDK1h6YY_hy3XHuxU/CR_MkZzM6Olnh9tm83L3xZH7897uEbS9lhSRtqPKPVg)
Peace of Meat,Germany-based company producing and supplying cultured fat as a tasty and texturing ingredient,Cultivated,Meat,Ingredient optimization,Ground meat,Beef/veal,,Europe,Germany,,Berlin,http://peace-of-meat.com/,2019,"Dirk von Heinrichshorst, David Brandes, Eva Sommer",hhrl0pmvbiasyefhaefq.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/yDS3nT2M2HOp70REWMuIaQ/8LyfrQhBChTFSzRD7HoreRCWjsWUMGHOrmt1e7ZNG3Eh2X1M_QYbkJnViL7cswKHLdIRSqTfQw9yhBbHlL2Cd_DsgQkqmMETalrr2bs9Z7k/VGvkdUXh-yUjZ9b6O0tLx79kc6o8CsJlnXrDPsWZghM)
Upside Foods ,"U.S.-based cultivated meat startup producing beef, duck, and chicken product prototypes ",Cultivated,Meat,"Cell line development,End product formulation and manufacturing",,"Duck,Beef/veal,Chicken",,U.S. and Canada,United States,CA,San Leandro,http://www.memphismeats.com/,2015,"Uma Valeti, Nicholas Genovese, Will Clem",Horizontal_Black.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/T_rMqEZ3kUFmCOBmErXToA/IZmCo3_U79a9PmYi1Rr4KGxlJoGjuuAwC1hFcaGq-EQHBOSothfJUdIyHDqvo887RqRkBK9y28dKluKhTmHl_8Ujs54Asb2VEMWsJlA18Lk/ADUs3u1akvYG7Twv0WxCL2Tx-moqfUfpFuAYeLBpi8E)
Aleph Farms,Israel-based company producing cultivated beef steak,Cultivated,Meat,"End product formulation and manufacturing,Scaffolding and structure","Ground meat,Whole muscle meat",Beef/veal,,Africa/Middle East,Israel,,Rehovot,https://www.aleph-farms.com/,2017,"Didier Toubia, Prof. Shulamit Levenberg",fwhce84ehyiy1hxs6qro.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/rTaFhLb6yasTDgJjM0uEGg/4REDYSqUh47CuNWkaP69yR2gdxz9hRW7YUVQt1bmXLTYijQXeN1PUo0-cAAampBTqKzfFgfm_UF-193VyBW-4MglAiGYYuTUXIScd1ep4X8/DYIVOsEzOhXXxhsppo6LqJRwwFi-aVSzZaa13RW5njc)
Dragonfly,"Produces organic tofu, tofu burgers and soy sausages. ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,Soy,Europe,United Kingdom,,Buckfastleigh,http://dragonflyfoods.com/,1984,"Sue Harker, Sarah Budd",LOGO-1@2x.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/cHxDgQCZ--GH3MtiUoVb_w/VkyFu-1y_OzyQ2IZ3VVKh0noAqbD2BVrC6k9BXtyhXh5d2NAZQ-GpPd-ulQWaDJDxKVjKVzojUpz_8yx_udZ7yZEjPZfwdxcasitoknE7ls/GQhsAUAJ9uG4xKQakl1HCmuNkSXHBpYuBS3ctddLC9g)
Matrix F.T. ,Startup making 3D nanofiber tubes for cultivated meat production.,Cultivated,Meat,Scaffolding and structure,,,,U.S. and Canada,United States,Ohio,Columbus,https://www.matrixmeats.com/,2019,Flavio Lobato,MATRIXFT_Logo.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/DyuriyEmL0RAasD1aXKCjg/lxvAQDFTFi99u8MDgro9LK2B58KW14JLr0OLznaMmY1N6PUHHIO8NwKyz9EPJXfczE4QSEFtfFUHSEBkaOZb2GWL--6UMaYc1salKnbPr-s/c558s4AMuteOtrEhXb0mqSDrWMw-UQEemm3gEjJn0fQ)
Shiok Meats,"Singapore-based company producing cultivated seafood, including crustaceans like shrimps, crabs, and lobsters",Cultivated,Seafood,End product formulation and manufacturing,Whole muscle meat,"Fish,Shellfish,Crab",,Asia Pacific,Singapore,,Singapore,https://shiokmeats.com/,2018,"Sandhya Sriram, Ka Yi Ling",Screen Shot 2021-02-08 at 2_19_19 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/DHudETrn6LJBSzanl5Foag/--I5I9jgNPiPyjuDDy2GyrqpE8kQU-60pKPud2eB_MAsFDyi4jXqU3Jd_ipjzSQjPu8ZqgquTjxF7-593Kihje9zi2ncOx0H-ReLzcRoEkmO_EHaBViihVVlXG9RsYb-/gZ7f6CjcSJpkCyBVuY6F7oqjtAKTMyxxBQgeMRI4z34)
Mzansi Meat Co,South Africa-based startup working on cultivated beef and chicken,Cultivated,Meat,"Cell culture media,End product formulation and manufacturing",Whole muscle meat,"Beef/veal,Chicken",,Africa/Middle East,South Africa,,Johannesburg,http://mzansimeat.co/,2020,"Jay Van Der Walt, Brett Thompson",Mzansi-Meat-Co-Logo-Dark-Transparent.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/xnIH9dhFkXkHt6TMD5TZSw/jvj7NX839GQ8xgYDPvy_Dvtp7t5f2y3iHRTRRUHn4jTVO8AHU7FMck23YGk54JeMs6tSHRYGZkbeFBHhJdU8-q7EvqOS95EzqJ37ySFLdsPc6QQNawBdpnfVupXtSi9c/GjUES8FeTTg0d74eh8NtohimzPHNboAe6dgwwRuUaUA)
Vivera,"Over 40 varieties of plant-based meat, including plant-based steak which is sold at Tesco.",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Soy,Europe,Netherlands,,Holten,https://vivera.com/,1990,Alfredo Pina,Screen Shot 2021-01-08 at 9_26_07 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/3ywtxOqK_QcVfNwaXGtn9A/sH9kKotHUXkxTYja4dV_g4kHEGpmJLbuX14CrOQRAEAUpGVwMoyZr6hfRqxfKlUe-B4G1Yo7e0nRKz0Q5D3CfH-MWBTambuolB2PNwP8nsvUdpBpmBYJa4r_cvr9ObXR/bUq8UW4i2HPsJRP9_GUFxGsdATe_sosMDKkMDParXRY)
GOURMEY - Suprême SAS,"France-based company producing  restaurant-grade meats directly from animal cells, starting with cultivated foie gras",Cultivated,Meat,End product formulation and manufacturing,Other meat,Duck,,Europe,France,,Paris,https://gourmey.com/welcome,2019,"Nicolas Morin-Forest, Antoine Davydoff, Victor Sayous",Gourmey_Logo_Grey_Yellow-01.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/uMoU7Cki9jtlufoBRLHOCQ/O9dIExdR1JZzQGRunvB-mD9oCvd7gJ-HrJRgD6xtVEH3N5bjpL7VwziET-5CsBS4ve8uPmj7Ahkw-8hnVMHEJDZjGrH9XtTXebnVi7zqWYHTJvq5CHHXinwQQL7B0v1r/fft87G0MfJEGQsMnCgQQb0Kreyd_EvWupKczvyZ03J8)
